file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,ldapGroupProcessor/0,false,59,3,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,failure/0,false,195,7,0,0,0,1,16,12,0,2,0,16,0,0,0,0,0,0,2,0,2,0,1,0,0,1,21,0,0,false
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithLdapGroupAndUserRole/0,false,134,7,0,0,0,1,26,21,0,5,0,26,0,0,0,0,0,1,13,2,5,0,0,0,0,0,37,0,0,false
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithMultipleLdapGroups/0,false,97,7,0,0,0,1,26,21,0,5,0,26,0,0,0,0,0,1,14,2,5,0,0,0,0,0,35,0,0,false
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,ldapSearchService/0,false,54,4,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,false
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,success/0,false,64,7,0,0,0,1,27,17,0,4,0,27,0,0,0,0,0,1,10,2,4,0,0,0,0,0,28,0,0,false
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithoutRoles/0,false,169,7,0,0,0,1,24,14,0,4,0,24,0,0,0,0,0,1,6,1,4,0,0,0,0,0,30,0,0,false
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,contextBuilder/0,false,48,3,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,"authenticate/2[org.akhq.modules.HttpRequest<?>,org.akhq.modules.AuthenticationRequest<?,?>]",false,27,10,8,5,3,4,27,20,4,7,2,27,0,0,0,0,1,0,2,0,6,1,1,0,0,1,21,1,0,false
C:\akhq-dev\src\test\java\org\akhq\utils\BookProto.java,org.akhq.utils.BookProto$BookOrBuilder,getTitle/0,false,21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,true
C:\akhq-dev\src\test\java\org\akhq\utils\BookProto.java,org.akhq.utils.BookProto$BookOrBuilder,getAuthor/0,false,33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,true
C:\akhq-dev\src\test\java\org\akhq\utils\BookProto.java,org.akhq.utils.BookProto$BookOrBuilder,getPriceOrBuilder/0,false,55,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,true
C:\akhq-dev\src\test\java\org\akhq\utils\BookProto.java,org.akhq.utils.BookProto$BookOrBuilder,hasPrice/0,false,45,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
C:\akhq-dev\src\test\java\org\akhq\utils\BookProto.java,org.akhq.utils.BookProto$BookOrBuilder,getPrice/0,false,50,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,true
C:\akhq-dev\src\test\java\org\akhq\utils\BookProto.java,org.akhq.utils.BookProto$BookOrBuilder,getAuthorBytes/0,false,38,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
C:\akhq-dev\src\test\java\org\akhq\utils\BookProto.java,org.akhq.utils.BookProto$BookOrBuilder,getTitleBytes/0,false,26,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
C:\akhq-dev\src\main\java\org\akhq\controllers\TopicController.java,org.akhq.controllers.TopicController$SearchRecord,"SearchRecord/2[double,java.lang.String]",true,503,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
C:\akhq-dev\src\main\java\org\akhq\models\Consumer.java,org.akhq.models.Consumer,Consumer/1[org.akhq.models.MemberDescription],true,26,2,2,1,1,2,9,9,0,0,1,9,0,0,1,0,0,0,0,0,3,0,1,0,0,0,7,1,0,false
C:\akhq-dev\src\main\java\org\akhq\models\Consumer.java,org.akhq.models.Consumer,getGroupedAssignments/0,false,42,3,1,0,1,2,9,8,1,2,0,9,0,0,1,0,0,0,0,0,2,0,1,0,0,0,7,1,0,false
