file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\abs\ui\VActivity.java,io.virtualapp.abs.ui.VActivity,getContext/0,false,28,2,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\abs\ui\VActivity.java,io.virtualapp.abs.ui.VActivity,defer/0,false,32,2,3,2,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\abs\ui\VActivity.java,io.virtualapp.abs.ui.VActivity,onStop/0,false,50,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\abs\ui\VActivity.java,io.virtualapp.abs.ui.VActivity,getActivity/0,false,21,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\abs\ui\VActivity.java,io.virtualapp.abs.ui.VActivity,"replaceFragment/2[int,io.virtualapp.abs.ui.Fragment]",false,40,2,0,0,0,1,4,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\abs\ui\VActivity.java,io.virtualapp.abs.ui.VActivity,findFragmentById/1[int],false,36,2,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\abs\ui\VActivity.java,io.virtualapp.abs.ui.VActivity,onStart/0,false,45,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,getMaxLineCount/0,false,117,1,2,0,2,1,2,5,1,2,0,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,6,4,0,true
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,isSingleLine/1[io.virtualapp.widgets.fittext.TextView],false,92,2,2,1,1,5,2,11,4,1,1,2,0,0,0,3,0,2,0,0,1,0,1,0,0,0,11,9,0,true
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,getLayoutAlignment/1[io.virtualapp.widgets.fittext.TextView],false,309,4,1,1,0,16,3,50,2,1,1,3,0,0,0,2,0,2,0,0,12,0,2,0,0,0,7,9,0,true
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,(initializer 1),false,30,0,0,0,0,1,1,38,0,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,8,0,false
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getLineBreaks/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",false,254,3,4,2,2,12,7,40,2,10,2,7,0,0,1,2,0,0,3,8,14,5,5,0,0,0,20,1,0,true
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,getTextWidth/1[io.virtualapp.widgets.fittext.TextView],false,135,1,2,2,0,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,9,0,true
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"fitTextSize/4[io.virtualapp.widgets.fittext.TextPaint,java.lang.CharSequence,float,float]",false,223,2,3,1,2,6,6,23,3,3,4,6,2,4,1,2,0,1,0,1,5,3,2,0,0,0,22,1,0,true
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,FitTextHelper/1[io.virtualapp.widgets.fittext.BaseTextView],true,84,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getStaticLayout/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",false,145,4,3,1,2,1,2,3,1,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
